Dye_Name,Concentration,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700
Suncron Black S-FWN_I,1.0,12.826391,10.478531,9.3526,8.652729,8.550768,8.780719,9.533059,10.644571,11.86652,11.942885,11.041012,9.887685,8.813374,7.852636,7.12693,6.531404,6.105946,5.770651,5.632885,5.613808,5.685262,5.871115,6.195085,7.020318,8.689072,11.451104,15.920189,22.07652,31.69539,38.059962,47.926581
Suncron Black S-FWN_I,2.0,7.350509,5.688426,4.941635,4.560177,4.469599,4.617041,4.997917,5.658485,6.421764,6.335059,5.881155,5.165283,4.525854,4.009252,3.64381,3.379476,3.156129,2.989669,2.91122,2.909552,2.949432,3.042593,3.218789,3.621051,4.457558,6.086735,9.121888,13.808018,22.006312,28.147885,37.6679
Suncron Black S-FWN_I,3.0,5.643297,3.991797,3.504045,3.312667,3.205623,3.298282,3.551463,3.959281,4.385998,4.400195,4.055857,3.57417,3.195297,2.872548,2.670619,2.529446,2.39764,2.299086,2.254466,2.265598,2.296983,2.343126,2.454317,2.68119,3.164385,4.207925,6.365999,10.071275,17.108285,22.967552,32.05432
Suncron Black S-FWN_I,4.0,4.490811,3.181812,2.835239,2.659005,2.57414,2.635249,2.80131,3.058314,3.285361,3.318233,3.093709,2.779241,2.539311,2.322165,2.210427,2.134008,2.053033,1.992608,1.964455,1.980407,2.003407,2.028986,2.107682,2.245224,2.607127,3.20133,4.735308,7.64875,13.560289,19.022354,27.631405
Suncron Black S-FWN_I,5.0,3.923753,2.81426,2.562273,2.405296,2.326291,2.36434,2.467125,2.630813,2.786576,2.802787,2.636821,2.408374,2.234674,2.096482,2.037164,1.991539,1.932118,1.894566,1.878638,1.898996,1.917865,1.929931,1.986056,2.077935,2.308858,2.770547,3.880836,6.240316,11.36817,16.524626,24.756436
Suncron Black S-FWN_I,6.0,3.662134,2.492399,2.378599,2.248407,2.170818,2.192218,2.25826,2.370847,2.484647,2.492367,2.353615,2.196594,2.067161,1.96806,1.940348,1.917033,1.871913,1.841134,1.829419,1.853487,1.873828,1.88889,1.934111,2.000373,2.161624,2.44727,3.326973,5.207228,9.615391,14.442421,22.253978
Suncron Black S-FWN_I,7.0,3.477925,2.384519,2.261068,2.155389,2.08551,2.10452,2.150305,2.230942,2.314874,2.315128,2.196223,2.073641,1.971978,1.901712,1.894077,1.881038,1.841684,1.814166,1.800645,1.819355,1.843711,1.853676,1.891289,1.940808,2.064313,2.370444,2.947348,4.518081,8.403334,12.964435,20.464548
Suncron Black S-FWN_I,8.0,3.294241,2.249225,2.153459,2.079605,2.020141,2.024633,2.051912,2.102089,2.164662,2.158667,2.061637,1.977788,1.898895,1.841145,1.843028,1.840009,1.806921,1.780645,1.770104,1.789774,1.809039,1.811622,1.842385,1.879469,1.977645,2.149602,2.66092,3.966712,7.340434,11.618174,18.757644
Suncron Black S-FWN_I,9.0,3.24937,2.246179,2.140739,2.064651,2.008026,2.021105,2.046879,2.10234,2.174693,2.175439,2.075171,1.991338,1.91974,1.867031,1.871696,1.866691,1.83186,1.805849,1.793578,1.816068,1.833335,1.840249,1.872285,1.911913,2.011857,2.278913,2.791598,4.203013,7.784855,12.172546,19.471182
Suncron Black S-FWN_I,10.0,3.102685,2.170029,2.068745,1.997993,1.9472,1.959363,1.979186,2.0192,2.074384,2.078808,1.994219,1.927352,1.862479,1.824558,1.832467,1.830444,1.799112,1.774596,1.761775,1.779661,1.794866,1.799969,1.831996,1.868823,1.957626,2.118669,2.61027,3.848942,7.109204,11.301316,18.323682
Suncron Black S-PN_I,1.0,17.986752,15.765999,13.881502,12.22075,11.017,10.16075,9.6785,9.53675,9.543,9.6435,9.832499,10.0225,10.156751,10.202,10.12075,9.782,9.39025,8.831999,8.299001,7.979,7.73175,7.60175,7.5965,7.84875,8.651499,10.427,13.6315,17.607251,26.113752,32.29275,41.675496
Suncron Black S-PN_I,2.0,11.311999,9.536,8.15475,6.9665,6.15375,5.61875,5.32125,5.197001,5.194,5.2525,5.34875,5.45175,5.5305,5.55525,5.5045,5.30525,5.0385,4.682999,4.403,4.21625,4.08325,4.022,4.045,4.177,4.6455,5.703,7.8285,10.59175,17.546,23.331499,32.110497
Suncron Black S-PN_I,3.0,8.27425,6.824499,5.751,4.88175,4.30575,3.9605,3.73175,3.63975,3.632,3.6615,3.705,3.75925,3.8065,3.81625,3.779,3.657,3.481,3.2475,3.07525,2.96,2.882,2.8495,2.87425,2.99025,3.24675,3.902,5.34525,7.320251,12.939,18.232498,26.414499
Suncron Black S-PN_I,4.0,6.448,5.237,4.4345,3.77725,3.3885,3.1175,2.9605,2.88825,2.87525,2.8965,2.91275,2.9425,2.972,2.97675,2.95275,2.87925,2.7515,2.589,2.474,2.40875,2.3695,2.352,2.372,2.45375,2.63425,3.091,4.059,5.492,10.047249,14.839999,22.380249
Suncron Black S-PN_I,5.0,5.36675,4.376001,3.72275,3.22375,2.9235,2.715,2.588,2.528,2.52,2.53375,2.535,2.5485,2.56675,2.56925,2.55025,2.5065,2.4095,2.29075,2.209,2.17275,2.152,2.14275,2.16325,2.22375,2.364,2.7275,3.35175,4.422,8.211751,12.634,19.69475
Suncron Black S-PN_I,6.0,4.5455,3.72025,3.20825,2.811,2.588,2.43925,2.3385,2.288,2.278,2.2885,2.2815,2.28675,2.297,2.2985,2.287,2.26425,2.1885,2.09625,2.034,2.015,2.00625,2.0005,2.0215,2.06725,2.163,2.37575,2.87875,3.67325,6.8035,10.8315,17.364749
Suncron Black S-PN_I,7.0,4.021,3.315,2.90025,2.57925,2.39075,2.25775,2.183,2.1415,2.13,2.137,2.12675,2.12475,2.13,2.131,2.12625,2.117,2.04975,1.97475,1.9275,1.9185,1.9165,1.91975,1.945,1.98,2.049,2.22925,2.611,3.169,5.79575,9.45625,15.5435
Suncron Black S-PN_I,8.0,3.643,3.011,2.6825,2.41875,2.26625,2.16,2.0935,2.05475,2.04525,2.04675,2.03075,2.02675,2.029,2.0275,2.026,2.03175,1.976,1.918,1.87825,1.87575,1.8765,1.8785,1.901,1.9335,1.99075,2.13675,2.3935,2.8315,5.06425,8.394751,14.042999
Suncron Black S-PN_I,9.0,3.29725,2.8025,2.54925,2.30225,2.173,2.08275,2.02675,1.98875,1.977,1.97325,1.95475,1.94425,1.9475,1.94925,1.95,1.9575,1.909,1.8595,1.828,1.832,1.84025,1.848,1.86975,1.8955,1.9405,2.05625,2.3255,2.57225,4.49025,7.53325,12.82025
Suncron Black S-PN_I,10.0,3.12075,2.63575,2.436,2.218,2.103,2.02375,1.96975,1.9325,1.91975,1.91775,1.89275,1.87875,1.87625,1.87225,1.8695,1.882,1.838,1.792,1.7665,1.775,1.78725,1.7975,1.8255,1.8535,1.89725,2.0005,2.1555,2.39475,3.99875,6.7875,11.72125
Suncron Black S-SFO 300% CORE_I,2.0,9.245432,7.462218,6.344213,5.535325,4.964656,4.655602,4.494255,4.444303,4.493766,4.590749,4.70506,4.857193,4.884548,4.766775,4.483245,4.114956,3.712155,3.340091,3.131716,3.031684,3.035569,3.111059,3.253678,3.505436,3.939857,4.747758,6.317069,9.014303,14.314854,19.337168,27.331626
